"area","const","margin","party","le","Party.Name","Lives.in.a.communal.establishment","Density","White..English.Welsh.Scottish.Northern.Irish.British","White..Irish","White..Gypsy.or.Irish.Traveller","White..Other.White","Mixed.multiple.ethnic.group..White.and.Black.Caribbean","Mixed.multiple.ethnic.group..White.and.Black.African","Mixed.multiple.ethnic.group..White.and.Asian","Mixed.multiple.ethnic.group..Other.Mixed","Asian.Asian.British..Indian","Asian.Asian.British..Pakistani","Asian.Asian.British..Bangladeshi","Asian.Asian.British..Chinese","Asian.Asian.British..Other.Asian","Black.African.Caribbean.Black.British..African","Black.African.Caribbean.Black.British..Caribbean","Black.African.Caribbean.Black.British..Other.Black","Other.ethnic.group..Arab","Other.ethnic.group..Any.other.ethnic.group","Dependent.children.in.household..All.ages","Single..never.married.or.never.registered.a.same.sex.civil.partnership.","Married","In.a.registered.same.sex.civil.partnership","Separated..but.still.legally.married.or.still.legally.in.a.same.sex.civil.partnership.","Divorced.or.formerly.in.a.same.sex.civil.partnership.which.is.now.legally.dissolved","Widowed.or.surviving.partner.from.a.same.sex.civil.partnership","Christian","Buddhist","Hindu","Jewish","Muslim","Sikh","Other.religion","No.religion","Religion.not.stated","Economically.active..Employee..Part.time","Economically.active..Employee..Full.time","Economically.active..Self.employed","Economically.active..Unemployed","Economically.active..Full.time.student","Economically.inactive..Retired","Economically.inactive..Student..including.full.time.students.","Economically.inactive..Looking.after.home.or.family","Economically.inactive..Long.term.sick.or.disabled","Economically.inactive..Other","Unemployed..Age.16.to.24","Unemployed..Age.50.to.74","Unemployed..Never.worked","Long.term.unemployed","Part.time..15.hours.or.less.worked","Part.time..16.to.30.hours.worked","Full.time..31.to.48.hours.worked","Full.time..49.or.more.hours.worked"
"E06000011","Haltemprice and Howden",23.8,"Conservative and Unionist Party",79.2,"(Conservative)",2.2,1.4,96.1,0.3,0.1,1.6,0.2,0.1,0.2,0.1,0.3,0.1,0,0.2,0.2,0.1,0.1,0,0.1,0.1,26.5,26.1,54.2,0.2,2.2,9.2,8,10.3,20.7,54.3,14.7,0,0,0,0,0,15.4,37,10.1,3.6,2.7,19.5,3.7,3.2,3.1,1.7,1,0.8,0.4,1.4,10.3,20.7,54.3,14.7
"E06000011","Kingston upon Hull West and Hessle",18.22,"Labour Party",79.2,"(Labour)",2.2,1.4,96.1,0.3,0.1,1.6,0.2,0.1,0.2,0.1,0.3,0.1,0,0.2,0.2,0.1,0.1,0,0.1,0.1,26.5,26.1,54.2,0.2,2.2,9.2,8,10.3,20.7,54.3,14.7,0,0,0,0,0,15.4,37,10.1,3.6,2.7,19.5,3.7,3.2,3.1,1.7,1,0.8,0.4,1.4,10.3,20.7,54.3,14.7
"E06000012","Great Grimsby",2.16,"Labour Party",77.3,"(Labour)",1.1,8.3,95.4,0.3,0,1.7,0.2,0.1,0.2,0.2,0.3,0.1,0.2,0.4,0.3,0.2,0,0,0.2,0.1,28.5,33.1,45.2,0.1,2.6,11.2,7.8,9.3,23.1,54.8,12.8,0,0,0,0,0,16.5,36.3,6.5,6.5,2.7,15.6,4.2,4.9,4.8,2.2,2,1.1,1,2.7,9.3,23.1,54.8,12.8
"E06000012","Cleethorpes",9.56,"Conservative and Unionist Party",77.3,"(Conservative)",1.1,8.3,95.4,0.3,0,1.7,0.2,0.1,0.2,0.2,0.3,0.1,0.2,0.4,0.3,0.2,0,0,0.2,0.1,28.5,33.1,45.2,0.1,2.6,11.2,7.8,9.3,23.1,54.8,12.8,0,0,0,0,0,16.5,36.3,6.5,6.5,2.7,15.6,4.2,4.9,4.8,2.2,2,1.1,1,2.7,9.3,23.1,54.8,12.8
"E06000013","Cleethorpes",9.56,"Conservative and Unionist Party",77.8,"(Conservative)",0.9,2,92.3,0.4,0.1,3.2,0.2,0.1,0.3,0.2,0.7,0.5,0.9,0.3,0.4,0.2,0,0,0.1,0.1,28.9,28.9,50.3,0.2,2.5,10.5,7.7,9.1,20.4,57.3,13.2,0,0,0,0,0,15.3,39.5,7.3,4.8,2.4,16.6,3.7,4.4,4.2,1.8,1.4,0.9,0.8,1.9,9.1,20.4,57.3,13.2
"E06000013","Brigg and Goole",11.74,"Conservative and Unionist Party",77.8,"(Conservative)",0.9,2,92.3,0.4,0.1,3.2,0.2,0.1,0.3,0.2,0.7,0.5,0.9,0.3,0.4,0.2,0,0,0.1,0.1,28.9,28.9,50.3,0.2,2.5,10.5,7.7,9.1,20.4,57.3,13.2,0,0,0,0,0,15.3,39.5,7.3,4.8,2.4,16.6,3.7,4.4,4.2,1.8,1.4,0.9,0.8,1.9,9.1,20.4,57.3,13.2
"E06000013","Scunthorpe",6.88,"Labour Party",77.8,"(Labour)",0.9,2,92.3,0.4,0.1,3.2,0.2,0.1,0.3,0.2,0.7,0.5,0.9,0.3,0.4,0.2,0,0,0.1,0.1,28.9,28.9,50.3,0.2,2.5,10.5,7.7,9.1,20.4,57.3,13.2,0,0,0,0,0,15.3,39.5,7.3,4.8,2.4,16.6,3.7,4.4,4.2,1.8,1.4,0.9,0.8,1.9,9.1,20.4,57.3,13.2
"E06000014","York Central",13.88,"Labour Party",79.1,"(Labour)",3.9,7.3,90.2,0.6,0.1,3.4,0.3,0.2,0.4,0.4,0.8,0.2,0.2,1.2,1,0.5,0.1,0,0.3,0.2,25.5,38.6,44,0.3,2,8.5,6.7,11.6,21.1,56.1,11.2,0,0,0,0,0,15,38.1,8.2,3.1,5.7,13.8,9.6,2.7,2.5,1.3,0.9,0.6,0.3,1.1,11.6,21.1,56.1,11.2
"E06000014","York Outer",6.92,"Conservative and Unionist Party",79.1,"(Conservative)",3.9,7.3,90.2,0.6,0.1,3.4,0.3,0.2,0.4,0.4,0.8,0.2,0.2,1.2,1,0.5,0.1,0,0.3,0.2,25.5,38.6,44,0.3,2,8.5,6.7,11.6,21.1,56.1,11.2,0,0,0,0,0,15,38.1,8.2,3.1,5.7,13.8,9.6,2.7,2.5,1.3,0.9,0.6,0.3,1.1,11.6,21.1,56.1,11.2
"E06000015","Mid Derbyshire",23.85,"Conservative and Unionist Party",78.1,"(Conservative)",1.7,31.9,75.3,0.9,0.1,3.9,1.6,0.2,0.7,0.4,4.4,5.9,0.3,0.5,1.5,1.3,1.4,0.3,0.3,1,30.9,36.5,44.7,0.2,2.7,9,7,9.7,20.9,59.5,9.9,0,0,0,0,0,14.7,38.5,6.5,5.2,4.2,12.8,6.3,4.8,4.8,2.4,1.7,0.7,1,2,9.7,20.9,59.5,9.9
"E06000015","Derby North",1.36,"Labour Party",78.1,"(Labour)",1.7,31.9,75.3,0.9,0.1,3.9,1.6,0.2,0.7,0.4,4.4,5.9,0.3,0.5,1.5,1.3,1.4,0.3,0.3,1,30.9,36.5,44.7,0.2,2.7,9,7,9.7,20.9,59.5,9.9,0,0,0,0,0,14.7,38.5,6.5,5.2,4.2,12.8,6.3,4.8,4.8,2.4,1.7,0.7,1,2,9.7,20.9,59.5,9.9
"E06000015","Derby South",14.86,"Labour Party",78.1,"(Labour)",1.7,31.9,75.3,0.9,0.1,3.9,1.6,0.2,0.7,0.4,4.4,5.9,0.3,0.5,1.5,1.3,1.4,0.3,0.3,1,30.9,36.5,44.7,0.2,2.7,9,7,9.7,20.9,59.5,9.9,0,0,0,0,0,14.7,38.5,6.5,5.2,4.2,12.8,6.3,4.8,4.8,2.4,1.7,0.7,1,2,9.7,20.9,59.5,9.9
"E06000016","Leicester South",18.69,"Labour Party",76.6,"(Labour)",2.5,45,45.1,0.8,0.1,4.6,1.4,0.4,1,0.7,28.3,2.4,1.1,1.3,4,3.8,1.5,1,1,1.6,33.4,41.5,42.4,0.2,2.7,7.1,6.1,10.6,22.5,58.7,8.2,0,0,0,0,0,13.8,33.3,5.8,6.2,5.5,9.3,11.4,6.2,5.1,3.4,1.6,1,1.3,2.5,10.6,22.5,58.7,8.2
"E06000016","Leicester West",11.21,"Labour Party",76.6,"(Labour)",2.5,45,45.1,0.8,0.1,4.6,1.4,0.4,1,0.7,28.3,2.4,1.1,1.3,4,3.8,1.5,1,1,1.6,33.4,41.5,42.4,0.2,2.7,7.1,6.1,10.6,22.5,58.7,8.2,0,0,0,0,0,13.8,33.3,5.8,6.2,5.5,9.3,11.4,6.2,5.1,3.4,1.6,1,1.3,2.5,10.6,22.5,58.7,8.2
"E06000016","Leicester East",29.34,"Labour Party",76.6,"(Labour)",2.5,45,45.1,0.8,0.1,4.6,1.4,0.4,1,0.7,28.3,2.4,1.1,1.3,4,3.8,1.5,1,1,1.6,33.4,41.5,42.4,0.2,2.7,7.1,6.1,10.6,22.5,58.7,8.2,0,0,0,0,0,13.8,33.3,5.8,6.2,5.5,9.3,11.4,6.2,5.1,3.4,1.6,1,1.3,2.5,10.6,22.5,58.7,8.2
"E06000017","Rutland and Melton",25.35,"Conservative and Unionist Party",79.9,"(Conservative)",8.3,1,94.3,0.6,0.2,2.1,0.3,0.1,0.4,0.3,0.3,0.1,0,0.3,0.2,0.3,0.3,0.1,0,0.2,26.5,26.7,54.2,0.2,2.4,8.9,7.6,10.8,19.3,52.1,17.8,0,0,0,0,0,14.2,38.1,12.4,2.4,2.2,16.9,5.8,3.2,1.7,3,0.6,0.7,0.3,0.9,10.8,19.3,52.1,17.8
"E06000018","Nottingham South",4.35,"Labour Party",76.5,"(Labour)",5.2,41,65.4,0.9,0.1,5.1,4,0.7,1.1,0.9,3.2,5.5,0.3,2,2.1,3.2,3.1,1,0.8,0.7,27.4,51.3,31.6,0.2,2.8,8.3,5.7,11.4,21.5,57.9,9.2,0,0,0,0,0,11.9,31.1,5.6,6.4,6.3,9.1,16.3,4.7,5.7,3,1.9,0.9,1.2,2.5,11.4,21.5,57.9,9.2
"E06000018","Nottingham East",21.05,"Labour Party/Co-operative Party",76.5,"(Labour (Co-op))",5.2,41,65.4,0.9,0.1,5.1,4,0.7,1.1,0.9,3.2,5.5,0.3,2,2.1,3.2,3.1,1,0.8,0.7,27.4,51.3,31.6,0.2,2.8,8.3,5.7,11.4,21.5,57.9,9.2,0,0,0,0,0,11.9,31.1,5.6,6.4,6.3,9.1,16.3,4.7,5.7,3,1.9,0.9,1.2,2.5,11.4,21.5,57.9,9.2
"E06000018","Nottingham North",23.73,"Labour Party",76.5,"(Labour)",5.2,41,65.4,0.9,0.1,5.1,4,0.7,1.1,0.9,3.2,5.5,0.3,2,2.1,3.2,3.1,1,0.8,0.7,27.4,51.3,31.6,0.2,2.8,8.3,5.7,11.4,21.5,57.9,9.2,0,0,0,0,0,11.9,31.1,5.6,6.4,6.3,9.1,16.3,4.7,5.7,3,1.9,0.9,1.2,2.5,11.4,21.5,57.9,9.2
"E06000019","Hereford and South Herefordshire",5.13,"Conservative and Unionist Party",79.2,"(Conservative)",1.6,0.8,93.7,0.4,0.2,3.9,0.2,0.1,0.2,0.2,0.3,0,0,0.2,0.3,0.1,0.1,0,0.1,0.1,26.5,28.3,51.8,0.2,2.2,9.6,7.9,10.2,20.6,52.6,16.5,0,0,0,0,0,15.2,36,14.4,3.3,2.4,16.6,3.6,3.5,3.4,1.6,1,0.7,0.4,1.2,10.2,20.6,52.6,16.5
"E06000019","North Herefordshire",20.78,"Conservative and Unionist Party",79.2,"(Conservative)",1.6,0.8,93.7,0.4,0.2,3.9,0.2,0.1,0.2,0.2,0.3,0,0,0.2,0.3,0.1,0.1,0,0.1,0.1,26.5,28.3,51.8,0.2,2.2,9.6,7.9,10.2,20.6,52.6,16.5,0,0,0,0,0,15.2,36,14.4,3.3,2.4,16.6,3.6,3.5,3.4,1.6,1,0.7,0.4,1.2,10.2,20.6,52.6,16.5
"E06000020","Telford",2.37,"Labour Party",77.3,"(Labour)",1.3,5.7,89.5,0.4,0.1,2.7,0.9,0.2,0.5,0.3,1.8,1.3,0.1,0.4,0.5,0.6,0.4,0.1,0.1,0.2,33,32.9,47.6,0.2,2.7,10.2,6.4,8.5,18.5,61.5,11.5,0,0,0,0,0,13.5,41.4,7,4.7,2.8,13.7,5.1,4.8,4.9,2,1.5,0.7,0.7,1.9,8.5,18.5,61.5,11.5
"E06000020","The Wrekin",20.56,"Conservative and Unionist Party",77.3,"(Conservative)",1.3,5.7,89.5,0.4,0.1,2.7,0.9,0.2,0.5,0.3,1.8,1.3,0.1,0.4,0.5,0.6,0.4,0.1,0.1,0.2,33,32.9,47.6,0.2,2.7,10.2,6.4,8.5,18.5,61.5,11.5,0,0,0,0,0,13.5,41.4,7,4.7,2.8,13.7,5.1,4.8,4.9,2,1.5,0.7,0.7,1.9,8.5,18.5,61.5,11.5
"E06000021","Stoke-on-Trent North",20.49,"Labour Party",76.3,"(Labour)",1.2,26.6,86.4,0.3,0.1,1.9,0.8,0.2,0.5,0.3,0.9,4.2,0.4,0.5,1.4,1,0.3,0.1,0.2,0.5,29.1,36,43.7,0.2,2.8,9.8,7.5,8.6,21.1,60.8,9.5,0,0,0,0,0,13.5,36.7,6.3,5.3,3.7,14.3,5.6,4.7,7.2,2.7,1.6,0.8,0.9,2.1,8.6,21.1,60.8,9.5
"E06000021","Stoke-on-Trent South",10.36,"Labour Party",76.3,"(Labour)",1.2,26.6,86.4,0.3,0.1,1.9,0.8,0.2,0.5,0.3,0.9,4.2,0.4,0.5,1.4,1,0.3,0.1,0.2,0.5,29.1,36,43.7,0.2,2.8,9.8,7.5,8.6,21.1,60.8,9.5,0,0,0,0,0,13.5,36.7,6.3,5.3,3.7,14.3,5.6,4.7,7.2,2.7,1.6,0.8,0.9,2.1,8.6,21.1,60.8,9.5
"E06000021","Stoke-on-Trent Central",17.14,"Labour Party",76.3,"(Labour)",1.2,26.6,86.4,0.3,0.1,1.9,0.8,0.2,0.5,0.3,0.9,4.2,0.4,0.5,1.4,1,0.3,0.1,0.2,0.5,29.1,36,43.7,0.2,2.8,9.8,7.5,8.6,21.1,60.8,9.5,0,0,0,0,0,13.5,36.7,6.3,5.3,3.7,14.3,5.6,4.7,7.2,2.7,1.6,0.8,0.9,2.1,8.6,21.1,60.8,9.5
"E06000022","North East Somerset",9.6,"Conservative and Unionist Party",80.1,"(Conservative)",3.4,5.1,90.1,0.7,0,3.8,0.5,0.2,0.5,0.4,0.6,0.1,0.1,1.1,0.7,0.3,0.4,0.1,0.2,0.2,26,37.3,45.7,0.2,1.8,8.2,6.7,12.8,20.4,53.8,13,0,0,0,0,0,14.4,35.5,11,2.7,5.1,13.7,10.1,3.3,2.8,1.4,0.7,0.6,0.3,1,12.8,20.4,53.8,13
"E06000022","Bath",25.24,"Liberal Democrats",80.1,"(Liberal Democrat)",3.4,5.1,90.1,0.7,0,3.8,0.5,0.2,0.5,0.4,0.6,0.1,0.1,1.1,0.7,0.3,0.4,0.1,0.2,0.2,26,37.3,45.7,0.2,1.8,8.2,6.7,12.8,20.4,53.8,13,0,0,0,0,0,14.4,35.5,11,2.7,5.1,13.7,10.1,3.3,2.8,1.4,0.7,0.6,0.3,1,12.8,20.4,53.8,13
